"Date","Time","No.","PAR","F1","F2","F3","F4","F5","F6","F7","F8","Fm.1","Fm.2","Fm.3","Fm.4","Fm.5","Fm.6","Fm.7","Fm.8","Fo.1","Fo.2","Fo.3","Fo.4","Fo.5","Fo.6","Fo.7","Fo.8","X","Param_ID","Value","Treatment","Sample_Num","Parameter_Type","F9","F10","F11","F12","F13","Fm.9","Fm.10","Fm.11","Fm.12","Fm.13","Fo.9","Fo.10","Fo.11","Fo.12","Fo.13","Scientific_Name"
"16.04.26","15:28:20",1,0,0.1764,0.1437,0.2424,0.151,0.066,0.0831,0.1065,0.131,0.5958,0.4995,0.7913,0.4238,0.1007,0.2234,0.1789,0.3109,0.1764,0.1437,0.2424,0.151,0.066,0.0831,0.1065,0.131,NA,"Y.NPQ.6",0,"Dark",6,"Y(NPQ)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ulva lactuca"
"16.04.26","15:28:20",1,0,0.1764,0.1437,0.2424,0.151,0.066,0.0831,0.1065,0.131,0.5958,0.4995,0.7913,0.4238,0.1007,0.2234,0.1789,0.3109,0.1764,0.1437,0.2424,0.151,0.066,0.0831,0.1065,0.131,NA,"Y.NPQ.7",0,"Dark",7,"Y(NPQ)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Galaxaura rugosa"
"16.04.26","15:28:20",1,0,0.1764,0.1437,0.2424,0.151,0.066,0.0831,0.1065,0.131,0.5958,0.4995,0.7913,0.4238,0.1007,0.2234,0.1789,0.3109,0.1764,0.1437,0.2424,0.151,0.066,0.0831,0.1065,0.131,NA,"Y.NPQ.8",0,"Dark",8,"Y(NPQ)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Halopteris scoparia"
"16.04.26","15:28:20",1,0,0.1764,0.1437,0.2424,0.151,0.066,0.0831,0.1065,0.131,0.5958,0.4995,0.7913,0.4238,0.1007,0.2234,0.1789,0.3109,0.1764,0.1437,0.2424,0.151,0.066,0.0831,0.1065,0.131,NA,"ETR1",0,"Dark",1,"ETR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Colpomenia sinuosa"
"16.04.26","15:28:20",1,0,0.1764,0.1437,0.2424,0.151,0.066,0.0831,0.1065,0.131,0.5958,0.4995,0.7913,0.4238,0.1007,0.2234,0.1789,0.3109,0.1764,0.1437,0.2424,0.151,0.066,0.0831,0.1065,0.131,NA,"ETR2",0,"Dark",2,"ETR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dictyota dichotoma"
"16.04.26","15:28:20",1,0,0.1764,0.1437,0.2424,0.151,0.066,0.0831,0.1065,0.131,0.5958,0.4995,0.7913,0.4238,0.1007,0.2234,0.1789,0.3109,0.1764,0.1437,0.2424,0.151,0.066,0.0831,0.1065,0.131,NA,"ETR3",0,"Dark",3,"ETR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sargassum vulgare"
"16.04.26","15:28:20",1,0,0.1764,0.1437,0.2424,0.151,0.066,0.0831,0.1065,0.131,0.5958,0.4995,0.7913,0.4238,0.1007,0.2234,0.1789,0.3109,0.1764,0.1437,0.2424,0.151,0.066,0.0831,0.1065,0.131,NA,"ETR4",0,"Dark",4,"ETR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Padina pavonica"
"16.04.26","15:28:20",1,0,0.1764,0.1437,0.2424,0.151,0.066,0.0831,0.1065,0.131,0.5958,0.4995,0.7913,0.4238,0.1007,0.2234,0.1789,0.3109,0.1764,0.1437,0.2424,0.151,0.066,0.0831,0.1065,0.131,NA,"ETR5",0,"Dark",5,"ETR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jania rubens"
"16.04.26","15:28:20",1,0,0.1764,0.1437,0.2424,0.151,0.066,0.0831,0.1065,0.131,0.5958,0.4995,0.7913,0.4238,0.1007,0.2234,0.1789,0.3109,0.1764,0.1437,0.2424,0.151,0.066,0.0831,0.1065,0.131,NA,"ETR6",0,"Dark",6,"ETR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ulva lactuca"
"16.04.26","15:28:20",1,0,0.1764,0.1437,0.2424,0.151,0.066,0.0831,0.1065,0.131,0.5958,0.4995,0.7913,0.4238,0.1007,0.2234,0.1789,0.3109,0.1764,0.1437,0.2424,0.151,0.066,0.0831,0.1065,0.131,NA,"ETR7",0,"Dark",7,"ETR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Galaxaura rugosa"
"16.04.26","15:28:20",1,0,0.1764,0.1437,0.2424,0.151,0.066,0.0831,0.1065,0.131,0.5958,0.4995,0.7913,0.4238,0.1007,0.2234,0.1789,0.3109,0.1764,0.1437,0.2424,0.151,0.066,0.0831,0.1065,0.131,NA,"ETR8",0,"Dark",8,"ETR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Halopteris scoparia"
"16.04.26","15:30:02",2,1,0.1891,0.154,0.2649,0.1574,0.0679,0.088,0.1046,0.1378,0.6129,0.4917,0.7498,0.4223,0.0992,0.2033,0.1735,0.3045,0.1779,0.143,0.2384,0.1508,0.0653,0.0802,0.1046,0.1298,NA,"Y.II.1",0.691,"Dark",1,"Y(II)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Colpomenia sinuosa"
"16.04.26","15:30:02",2,1,0.1891,0.154,0.2649,0.1574,0.0679,0.088,0.1046,0.1378,0.6129,0.4917,0.7498,0.4223,0.0992,0.2033,0.1735,0.3045,0.1779,0.143,0.2384,0.1508,0.0653,0.0802,0.1046,0.1298,NA,"Y.II.2",0.687,"Dark",2,"Y(II)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dictyota dichotoma"
"16.04.26","15:30:02",2,1,0.1891,0.154,0.2649,0.1574,0.0679,0.088,0.1046,0.1378,0.6129,0.4917,0.7498,0.4223,0.0992,0.2033,0.1735,0.3045,0.1779,0.143,0.2384,0.1508,0.0653,0.0802,0.1046,0.1298,NA,"Y.II.3",0.647,"Dark",3,"Y(II)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sargassum vulgare"
"16.04.26","15:30:02",2,1,0.1891,0.154,0.2649,0.1574,0.0679,0.088,0.1046,0.1378,0.6129,0.4917,0.7498,0.4223,0.0992,0.2033,0.1735,0.3045,0.1779,0.143,0.2384,0.1508,0.0653,0.0802,0.1046,0.1298,NA,"Y.II.4",0.627,"Dark",4,"Y(II)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Padina pavonica"
"16.04.26","15:30:02",2,1,0.1891,0.154,0.2649,0.1574,0.0679,0.088,0.1046,0.1378,0.6129,0.4917,0.7498,0.4223,0.0992,0.2033,0.1735,0.3045,0.1779,0.143,0.2384,0.1508,0.0653,0.0802,0.1046,0.1298,NA,"Y.II.5",0.315,"Dark",5,"Y(II)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jania rubens"
"16.04.26","15:30:02",2,1,0.1891,0.154,0.2649,0.1574,0.0679,0.088,0.1046,0.1378,0.6129,0.4917,0.7498,0.4223,0.0992,0.2033,0.1735,0.3045,0.1779,0.143,0.2384,0.1508,0.0653,0.0802,0.1046,0.1298,NA,"Y.II.6",0.567,"Dark",6,"Y(II)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ulva lactuca"
"16.04.26","15:30:02",2,1,0.1891,0.154,0.2649,0.1574,0.0679,0.088,0.1046,0.1378,0.6129,0.4917,0.7498,0.4223,0.0992,0.2033,0.1735,0.3045,0.1779,0.143,0.2384,0.1508,0.0653,0.0802,0.1046,0.1298,NA,"Y.II.7",0.397,"Dark",7,"Y(II)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Galaxaura rugosa"
"16.04.26","15:30:02",2,1,0.1891,0.154,0.2649,0.1574,0.0679,0.088,0.1046,0.1378,0.6129,0.4917,0.7498,0.4223,0.0992,0.2033,0.1735,0.3045,0.1779,0.143,0.2384,0.1508,0.0653,0.0802,0.1046,0.1298,NA,"Y.II.8",0.547,"Dark",8,"Y(II)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Halopteris scoparia"
"16.04.26","15:30:02",2,1,0.1891,0.154,0.2649,0.1574,0.0679,0.088,0.1046,0.1378,0.6129,0.4917,0.7498,0.4223,0.0992,0.2033,0.1735,0.3045,0.1779,0.143,0.2384,0.1508,0.0653,0.0802,0.1046,0.1298,NA,"Y.NPQ.1",0,"Dark",1,"Y(NPQ)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Colpomenia sinuosa"
"16.04.26","15:30:02",2,1,0.1891,0.154,0.2649,0.1574,0.0679,0.088,0.1046,0.1378,0.6129,0.4917,0.7498,0.4223,0.0992,0.2033,0.1735,0.3045,0.1779,0.143,0.2384,0.1508,0.0653,0.0802,0.1046,0.1298,NA,"Y.NPQ.2",0.003,"Dark",2,"Y(NPQ)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dictyota dichotoma"
